year,co2,source
-11695,238.55,Ice Cores
-11877,239.08,Ice Cores
-12052,235.92,Ice Cores
-12134,232.88,Ice Cores
-12230,239.36,Ice Cores
-12323,240.21,Ice Cores
-12393,242.08,Ice Cores
-12461,242.55,Ice Cores
-12514,238.61,Ice Cores
-12581,243.17,Ice Cores
-12614,239.86,Ice Cores
-12645,235.31,Ice Cores
-12680,240.1,Ice Cores
-12714,233.42,Ice Cores
-12747,228.91,Ice Cores
-12781,234.54,Ice Cores
-12813,224.64,Ice Cores
-12849,228.5,Ice Cores
-12885,228.4,Ice Cores
-12919,232.22,Ice Cores
-12954,228.72,Ice Cores
-13004,228.89,Ice Cores
-13061,228.37,Ice Cores
-13146,234.47,Ice Cores
-13231,227.84,Ice Cores
-13331,225.77,Ice Cores
-13433,225.39,Ice Cores
-13596,223.53,Ice Cores
-13818,224.86,Ice Cores
-13987,223.77,Ice Cores
-14065,222.39,Ice Cores
-14164,222.41,Ice Cores
-14237,221.49,Ice Cores
-14291,220.49,Ice Cores
-14347,212.84,Ice Cores
-14404,214.83,Ice Cores
-14461,212.95,Ice Cores
-14522,213.94,Ice Cores
-14640,208.46,Ice Cores
-14848,205.53,Ice Cores
-15045,204.32,Ice Cores
-15286,198.29,Ice Cores
-15410,190.5,Ice Cores
-15485,190.76,Ice Cores
-15561,191.59,Ice Cores
-15636,196.96,Ice Cores
-15715,194.38,Ice Cores
-15794,190.41,Ice Cores
-15875,191.21,Ice Cores
-15957,191.72,Ice Cores
-16042,188.96,Ice Cores
-16132,188.64,Ice Cores
-16223,189.01,Ice Cores
-16315,188.52,Ice Cores
-16410,188.73,Ice Cores
-16508,187.45,Ice Cores
-16633,188.57,Ice Cores
-16854,192.97,Ice Cores
-17044,192.71,Ice Cores
-17493,191.52,Ice Cores
-17841,193.6,Ice Cores
-18263,190.47,Ice Cores
-18716,187.76,Ice Cores
-19118,188.4,Ice Cores
-19613,185.23,Ice Cores
-20106,187.38,Ice Cores
-20398,187.02,Ice Cores
-20701,188.49,Ice Cores
-21044,189.4,Ice Cores
-21235,188.6,Ice Cores
-21495,186.78,Ice Cores
-22128,184.68,Ice Cores
-23214,180.69,Ice Cores
-23836,186.54,Ice Cores
-24365,183.77,Ice Cores
-24754,185.44,Ice Cores
-25092,187.39,Ice Cores
-25330,190.06,Ice Cores
-25600,191.53,Ice Cores
-25737,192.71,Ice Cores
-25871,187.59,Ice Cores
-25977,188.99,Ice Cores
-26264,191.82,Ice Cores
-26464,189.16,Ice Cores
-26676,192.82,Ice Cores
-26953,192.69,Ice Cores
-27201,192.26,Ice Cores
-27374,191.01,Ice Cores
-27659,189.24,Ice Cores
-27888,190.97,Ice Cores
-28152,188.25,Ice Cores
-28363,185.99,Ice Cores
-28763,187.14,Ice Cores
-29406,188.48,Ice Cores
-29868,192.93,Ice Cores
-30130,193.91,Ice Cores
-30358,192.47,Ice Cores
-30561,194.61,Ice Cores
-30764,195.94,Ice Cores
-31059,196.33,Ice Cores
-31541,197.13,Ice Cores
-31891,195.63,Ice Cores
-31976,194.47,Ice Cores
-32114,195.93,Ice Cores
-32363,196.27,Ice Cores
-32653,199.49,Ice Cores
-32761,197.16,Ice Cores
-33140,198.78,Ice Cores
-33387,204.47,Ice Cores
-33496,200.3,Ice Cores
-33581,201.89,Ice Cores
-33752,200.5,Ice Cores
-34136,204.12,Ice Cores
-34556,198.96,Ice Cores
-34763,203.75,Ice Cores
-35073,206.36,Ice Cores
-35346,208.25,Ice Cores
-35481,212.51,Ice Cores
-35698,212.14,Ice Cores
-36050,211.21,Ice Cores
-36242,206.52,Ice Cores
-36463,210.79,Ice Cores
-36624,208.23,Ice Cores
-36773,206.54,Ice Cores
-37006,205.99,Ice Cores
-37170,207.32,Ice Cores
-37370,209.33,Ice Cores
-37453,191.53,Ice Cores
-37671,195.7,Ice Cores
-37935,193.87,Ice Cores
-38162,193.08,Ice Cores
-38536,201.32,Ice Cores
-38957,200.97,Ice Cores
-39656,205.49,Ice Cores
-40366,200.9,Ice Cores
-41018,204.26,Ice Cores
-41566,204.22,Ice Cores
-42145,204.31,Ice Cores
-42540,204.83,Ice Cores
-43046,211.49,Ice Cores
-43510,214.5,Ice Cores
-44107,221.77,Ice Cores
-44686,216.42,Ice Cores
-45136,210.27,Ice Cores
-45760,203.79,Ice Cores
-46478,200.98,Ice Cores
-47513,204.06,Ice Cores
-48271,206.74,Ice Cores
-49481,211.57,Ice Cores
-50435,219.08,Ice Cores
-51158,223.72,Ice Cores
-52207,220.37,Ice Cores
-53064,216.86,Ice Cores
-53960,210.27,Ice Cores
-55261,215.7,Ice Cores
-56267,224.35,Ice Cores
-57430,226.35,Ice Cores
-58423,212.87,Ice Cores
-59111,207.95,Ice Cores
-59951,206.38,Ice Cores
-61011,200.15,Ice Cores
-62164,199.73,Ice Cores
-63097,199.17,Ice Cores
-63987,200.59,Ice Cores
-65365,201.14,Ice Cores
-66670,203.43,Ice Cores
-68102,215.55,Ice Cores
-69329,235.02,Ice Cores
-70540,232.79,Ice Cores
-71801,232.74,Ice Cores
-73118,243.27,Ice Cores
-74297,239.34,Ice Cores
-75666,224.92,Ice Cores
-77020,227.3,Ice Cores
-78380,230.6,Ice Cores
-79761,234.13,Ice Cores
-81038,246.32,Ice Cores
-82407,243.16,Ice Cores
-83941,228.76,Ice Cores
-85631,223.63,Ice Cores
-87295,227.38,Ice Cores
-88884,231.56,Ice Cores
-90718,232.46,Ice Cores
-92619,242.41,Ice Cores
-94525,245.76,Ice Cores
-96634,243.18,Ice Cores
-98593,247.87,Ice Cores
-100815,237.07,Ice Cores
-102381,238.88,Ice Cores
-104040,257.58,Ice Cores
-105025,240.34,Ice Cores
-107890,244.13,Ice Cores
-110686,256.79,Ice Cores
-111729,260.58,Ice Cores
-113497,276.96,Ice Cores
-115236,274.03,Ice Cores
-117293,267.74,Ice Cores
-118593,276.82,Ice Cores
-120150,278.25,Ice Cores
-121681,274.6,Ice Cores
-122867,275.52,Ice Cores
-124750,273.02,Ice Cores
-125554,276.88,Ice Cores
-126517,285.76,Ice Cores
-127706,260.61,Ice Cores
-129372,241.13,Ice Cores
-130982,224.63,Ice Cores
-134616,203.74,Ice Cores
-138000,192.75,Ice Cores
-142850,196.02,Ice Cores
-147516,201.78,Ice Cores
-151825,198.78,Ice Cores
-156716,189,Ice Cores
-161908,204.3,Ice Cores
-164834,190.1,Ice Cores
-167564,196.6,Ice Cores
-173883,196,Ice Cores
-175780,190.1,Ice Cores
-180246,217.7,Ice Cores
-184461,203.4,Ice Cores
-189304,231.4,Ice Cores
-193176,226.5,Ice Cores
-196377,241.2,Ice Cores
-200794,239.1,Ice Cores
-203626,231.9,Ice Cores
-204947,226.3,Ice Cores
-206159,238.1,Ice Cores
-207132,240.5,Ice Cores
-208225,243.9,Ice Cores
-209628,246.9,Ice Cores
-211380,243.4,Ice Cores
-213962,240.3,Ice Cores
-215466,251.7,Ice Cores
-217118,240.5,Ice Cores
-220590,207.1,Ice Cores
-224310,203.3,Ice Cores
-226489,234.5,Ice Cores
-229180,232.4,Ice Cores
-234041,245.2,Ice Cores
-235442,247.4,Ice Cores
-237058,245.6,Ice Cores
-238240,252.8,Ice Cores
-240735,279,Ice Cores
-242632,252.3,Ice Cores
-244239,230.4,Ice Cores
-249441,200.2,Ice Cores
-251807,196.7,Ice Cores
-255111,201.9,Ice Cores
-258944,209.6,Ice Cores
-260867,214.6,Ice Cores
-265057,211.7,Ice Cores
-267990,194.2,Ice Cores
-271216,190.4,Ice Cores
-274308,198.4,Ice Cores
-277669,204.5,Ice Cores
-280643,223.7,Ice Cores
-284660,226.4,Ice Cores
-286336,231,Ice Cores
-289613,217.1,Ice Cores
-292505,206.7,Ice Cores
-296755,217.1,Ice Cores
-299076,236.1,Ice Cores
-302151,240.2,Ice Cores
-304631,248.6,Ice Cores
-307474,227.8,Ice Cores
-309720,237.8,Ice Cores
-312102,251.6,Ice Cores
-314501,246.8,Ice Cores
-316903,245.2,Ice Cores
-319867,249.2,Ice Cores
-323057,260.3,Ice Cores
-325486,264,Ice Cores
-327464,271.9,Ice Cores
-330194,271.7,Ice Cores
-332048,282.4,Ice Cores
-333152,298.6,Ice Cores
-334918,278.6,Ice Cores
-337041,241.9,Ice Cores
-340842,250.1,Ice Cores
-344371,204.8,Ice Cores
-349726,221.1,Ice Cores
-353868,209.2,Ice Cores
-360618,185.8,Ice Cores
-369436,201.9,Ice Cores
-375085,224.6,Ice Cores
-382607,240,Ice Cores
-387460,245.8,Ice Cores
-392054,273.6,Ice Cores
-397976,277.1,Ice Cores
-400910,275.7,Ice Cores
-404593,279.6,Ice Cores
-407648,274.7,Ice Cores
-411309,274.9,Ice Cores
-413996,276.4,Ice Cores
-416007,271.8,Ice Cores
-418184,271.2,Ice Cores
-420583,266.4,Ice Cores
-423182,268.3,Ice Cores
-424672,265.4,Ice Cores
-426890,248.2,Ice Cores
-430229,227.2,Ice Cores
-433990,209.8,Ice Cores
-438710,201.7,Ice Cores
-443382,199.1,Ice Cores
-447621,208.1,Ice Cores
-450786,204.9,Ice Cores
-454052,193.3,Ice Cores
-456258,204.3,Ice Cores
-458302,202.4,Ice Cores
-461577,194.4,Ice Cores
-463652,210,Ice Cores
-466928,203.4,Ice Cores
-469251,215.5,Ice Cores
-470913,232.7,Ice Cores
-472142,245.6,Ice Cores
-475000,232.8,Ice Cores
-477453,236.5,Ice Cores
-478777,218.8,Ice Cores
-481445,227.3,Ice Cores
-483718,231.2,Ice Cores
-485898,231.3,Ice Cores
-487770,240.9,Ice Cores
-488784,242.6,Ice Cores
-490914,243.7,Ice Cores
-493074,238.3,Ice Cores
-495238,236.4,Ice Cores
-497577,230.6,Ice Cores
-499911,230.8,Ice Cores
-502227,232.2,Ice Cores
-504534,235.5,Ice Cores
-506991,237,Ice Cores
-509562,236.4,Ice Cores
-512083,238.2,Ice Cores
-514471,243,Ice Cores
-516650,245.5,Ice Cores
-518872,245.5,Ice Cores
-522621,236.8,Ice Cores
-524946,230.3,Ice Cores
-527453,222.7,Ice Cores
-530129,220.7,Ice Cores
-531604,204.4,Ice Cores
-533094,193.8,Ice Cores
-535384,199.4,Ice Cores
-538634,212.9,Ice Cores
-541895,203.6,Ice Cores
-544880,209.6,Ice Cores
-547770,202.5,Ice Cores
-549431,215.2,Ice Cores
-551071,222.3,Ice Cores
-551859,220.3,Ice Cores
-553892,226.7,Ice Cores
-555249,243,Ice Cores
-555888,250.5,Ice Cores
-556828,238.1,Ice Cores
-557923,230.2,Ice Cores
-559501,231.6,Ice Cores
-560706,234.1,Ice Cores
-561978,245.7,Ice Cores
-563184,251.4,Ice Cores
-564295,251.4,Ice Cores
-565289,253.9,Ice Cores
-566254,253.9,Ice Cores
-567365,250.2,Ice Cores
-568513,251.3,Ice Cores
-569683,249.6,Ice Cores
-570720,246.31,Ice Cores
-571963,248.72,Ice Cores
-573284,252.08,Ice Cores
-574649,252.9,Ice Cores
-576246,251.08,Ice Cores
-577883,251.47,Ice Cores
-578864,236.17,Ice Cores
-579978,219.41,Ice Cores
-581624,206.68,Ice Cores
-585222,225.99,Ice Cores
-586991,246.35,Ice Cores
-588539,243.56,Ice Cores
-590836,229.39,Ice Cores
-592914,237.98,Ice Cores
-594841,216.44,Ice Cores
-597268,225.97,Ice Cores
-600651,237.86,Ice Cores
-604676,248.48,Ice Cores
-608480,257.74,Ice Cores
-610812,258.14,Ice Cores
-614349,252.9,Ice Cores
-617004,248.29,Ice Cores
-621001,243.89,Ice Cores
-623448,235.02,Ice Cores
-625880,205.76,Ice Cores
-627916,200.78,Ice Cores
-632128,193.1,Ice Cores
-634572,194,Ice Cores
-638422,190.18,Ice Cores
-642351,195.31,Ice Cores
-645305,191.85,Ice Cores
-648398,189.25,Ice Cores
-650759,186.79,Ice Cores
-653574,200,Ice Cores
-655704,189.23,Ice Cores
-657344,187.38,Ice Cores
-659168,193.97,Ice Cores
-660847,193.91,Ice Cores
-662370,192.55,Ice Cores
-663887,180.54,Ice Cores
-666465,177.71,Ice Cores
-668346,191.51,Ice Cores
-670201,194.79,Ice Cores
-672279,204.67,Ice Cores
-674581,222.57,Ice Cores
-676378,218.21,Ice Cores
-677785,232.7,Ice Cores
-679276,225.81,Ice Cores
-680790,219.14,Ice Cores
-682474,225.64,Ice Cores
-683730,220.62,Ice Cores
-685204,222.7,Ice Cores
-686350,227.65,Ice Cores
-687743,232.07,Ice Cores
-688786,236.45,Ice Cores
-690018,239.38,Ice Cores
-691127,238.47,Ice Cores
-692330,239.34,Ice Cores
-693309,239.8,Ice Cores
-694485,238.05,Ice Cores
-695392,238.42,Ice Cores
-696556,240.9,Ice Cores
-697489,239.01,Ice Cores
-698535,236.72,Ice Cores
-699575,232.46,Ice Cores
-700784,232.18,Ice Cores
-701846,232.28,Ice Cores
-703103,234.04,Ice Cores
-704103,237.66,Ice Cores
-705361,238.85,Ice Cores
-706463,233.11,Ice Cores
-707960,230.51,Ice Cores
-709449,225.39,Ice Cores
-711362,223.89,Ice Cores
-713166,223.14,Ice Cores
-714636,210.51,Ice Cores
-716828,193.46,Ice Cores
-718641,217.04,Ice Cores
-720556,216.1,Ice Cores
-722192,214.01,Ice Cores
-724300,211.08,Ice Cores
-726644,210.24,Ice Cores
-728310,212.17,Ice Cores
-729911,211.62,Ice Cores
-731379,207.72,Ice Cores
-733185,214.66,Ice Cores
-734572,213.14,Ice Cores
-736631,191.74,Ice Cores
-738511,183.39,Ice Cores
-740695,188.65,Ice Cores
-742573,188.97,Ice Cores
-745227,187.92,Ice Cores
-747313,188.68,Ice Cores
-749086,191.3,Ice Cores
-751539,195.43,Ice Cores
-753637,203.3,Ice Cores
-755835,213.61,Ice Cores
-757612,226.94,Ice Cores
-758566,225.62,Ice Cores
-760216,214.69,Ice Cores
-762727,223.89,Ice Cores
-763901,229.41,Ice Cores
-765797,224.86,Ice Cores
-767701,225.87,Ice Cores
-769569,236.32,Ice Cores
-770525,243.89,Ice Cores
-771300,246.03,Ice Cores
-773009,238.39,Ice Cores
-774833,248.92,Ice Cores
-777108,254.93,Ice Cores
-778769,252.52,Ice Cores
-780778,257.44,Ice Cores
-783084,255.85,Ice Cores
-784613,264.35,Ice Cores
-786529,257.2,Ice Cores
-788003,235.49,Ice Cores
-790081,224.69,Ice Cores
-791903,218.39,Ice Cores
-794903,198.79,Ice Cores
-799286,198.68,Ice Cores
-801975,202.92,Ice Cores
-803182,202.23,Ice Cores
