Order,SuperFamily,Family,Genus,Species,FW,SW,FB,SB,LS,GL,BW,WA,AI,LY,AM,IB
Carnivora,Caniformia,Mustelidae,Meles,Meles meles,10.9,11.6,45.5,50.5,3.0,42.0,103.5,95,210,180,525,12
Carnivora,Caniformia,Mustelidae,Taxidea,Taxidea taxus,4.1,4.05,48.5,49.0,4.0,42.0,NA,42,NA,156,395,
Carnivora,Caniformia,Mustelidae,Mephistis,Mephitis mephitis,2.0,2.4,10.0,10.3,6.0,63.0,33.0,46,84,120,308,12
Carnivora,Caniformia,Mustelidae,Spilogale,Spilogale putorius,0.43,0.55,5.0,5.0,4.3,30.0,15.9,56,NA,NA,,8
Carnivora,Caniformia,Mustelidae,Lutra,Lutra lutra,7.1,8.9,39.0,42.0,2.5,66.5,285.0,112,238,NA,913,
Carnivora,Caniformia,Mustelidae,Lutra,Lutra cauadensis,7.8,8.2,50.5,52.8,3.0,112.0,NA,93,NA,NA,730,
Carnivora,Caniformia,Mustelidae,Lutra,Lutra maculicollis,3.5,4.04,33.0,40.0,3.0,56.0,NA,NA,NA,NA,730,
Carnivora,Caniformia,Mustelidae,Lutrogale,Lutrogale perspicillata,7.3,8.78,61.0,65.0,1.5,62.0,NA,126,NA,180,,
Carnivora,Caniformia,Mustelidae,Aonyx,Aonyx capensis,18.0,19.0,93.0,95.0,3.0,63.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Enhydra,Enhvdra lutris,24.4,28.3,119.0,125.5,1.0,120.0,210.0,364,NA,NA,1095,12
Carnivora,Feliformia,Viverridae,Viverra,Viverra zihetha,9.0,9.3,36.5,37.0,2.8,77.0,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Civettictis,Civettictis iietta,12.24,12.02,39.0,37.0,3.0,68.5,NA,140,NA,NA,,9
Carnivora,Feliformia,Viverridae,Viverricula,Viverricula indica,2.49,2.66,17.0,16.8,3.8,NA,NA,NA,NA,102,,
Carnivora,Feliformia,Viverridae,Genetta,Genetta genetta,1.8,1.9,14.0,14.0,3.5,71.8,NA,175,NA,NA,,6
Carnivora,Feliformia,Viverridae,Genetta,Genetta tigrina,2.02,2.06,15.5,15.3,2.5,70.0,NA,56,NA,180,,
Carnivora,Feliformia,Viverridae,Prionodon,Prionodon linsang,0.72,0.67,8.0,8.5,NA,NA,40.0,NA,NA,102,,
Carnivora,Feliformia,Viverridae,Nandinia,Nandinia hinotata,3.2,3.2,17.0,17.3,1.8,64.0,56.0,NA,NA,NA,720,6
Carnivora,Feliformia,Viverridae,Actogalidia,Arctogalidia trivirgata,2.4,2.4,21.0,22.0,2.8,45.0,NA,NA,NA,132,,6
Carnivora,Feliformia,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,2.7,3.0,18.5,18.5,3.3,NA,95.5,NA,NA,168,,6
Carnivora,Feliformia,Viverridae,Paradoxurus,Paradoxurus zeylonensis,2.3,2.8,17.5,17.8,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Paguma,Paguma Iarvata,5.0,4.7,29.5,30.8,3.0,NA,NA,NA,NA,180,,
Carnivora,Feliformia,Viverridae,Acrctictis,Arctictis binturong,13.0,13.0,38.0,40.8,3.0,90.3,319.0,56,NA,216,,
Carnivora,Feliformia,Viverridae,Hemigalus,Hemigalus derbyanus,0.86,0.83,16.0,19.0,NA,NA,125.0,70,NA,NA,,
Carnivora,Feliformia,Viverridae,Fossa,Fossa fossa,1.6,1.8,18.0,19.8,1.0,85.0,82.5,52,365,NA,,12
Carnivora,Feliformia,Viverridae,Eupleres,Eupleres goudoti,2.1,2.1,17.0,17.0,1.5,NA,150.0,63,NA,NA,,
Carnivora,Feliformia,Viverridae,Galidea,Galidea elegans,0.81,0.81,10.0,10.8,1.0,83.0,47.5,56,NA,NA,730,12
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes ichneumon,2.9,3.05,23.0,23.3,2.5,63.0,NA,NA,NA,156,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes sanguineus,0.44,0.49,9.0,8.75,2.5,NA,NA,NA,NA,NA,365,6
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes auropunctatus,0.53,0.78,7.0,7.25,3.2,46.0,NA,32,NA,120,365,6
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes edwardsi,1.04,1.28,10.0,10.5,3.0,60.5,NA,NA,NA,NA,270, S
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes smithi,1.25,1.7,13.5,13.8,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestesfuscus,0.79,1.19,11.0,12.5,3.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes vitticollis,1.7,2.38,26.0,25.8,3.0,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Herpetes,Herpestes urva,2.04,2.38,20.0,21.0,3.0,63.0,NA,NA,NA,120,,
Carnivora,Feliformia,Viverridae,Mungos,Mungos mungo,1.23,1.26,10.0,10.5,3.8,59.0,20.0,NA,NA,108,323,
Carnivora,Feliformia,Viverridae,Crossarchus,Crossarchus obscurus,1.31,1.31,9.5,9.8,4.0,70.0,NA,NA,NA,NA,,4
Carnivora,Feliformia,Viverridae,Helogale,Helogale parvula,0.27,0.27,5.0,4.75,3.6,51.0,NA,NA,NA,NA,450,4
Carnivora,Feliformia,Viverridae,Ichneumia,Ichneumia albicauda,3.53,3.89,22.5,24.3,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Atilax,Atilax paludinosus,3.3,3.7,27.0,28.5,2.5,NA,NA,NA,NA,NA,,6
Carnivora,Feliformia,Viverridae,Cynictus,Cynictus penicillata,0.6,0.6,10.0,10.5,2.5,54.5,NA,42,NA,NA,,12
Carnivora,Feliformia,Viverridae,Paracynictis,Paracynictis selousi,1.64,1.7,15.5,15.8,1.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Viverridae,Suricata,Suricata suricatta,0.72,0.73,10.0,10.3,4.0,77.0,30.5,56,NA,NA,,
Carnivora,Feliformia,Hyaenidae,Hyaena,Hyaena hyaena,26.6,26.8,98.0,97.8,2.5,87.0,NA,60,NA,282,821,
Carnivora,Feliformia,Hyaenidae,Hyaena,Hyaena brunnea,43.9,43.3,110.0,107.0,2.3,NA,693.0,360,900,150,,
Carnivora,Feliformia,Hyaenidae,Crocuta,Crocuta crocuta,55.3,52.0,153.0,143.5,2.0,110.0,1500.0,390,913,276,913,17
Carnivora,Feliformia,Hyaenidae,Proteles,Proteles cristatus,8.36,8.34,36.5,35.3,2.8,100.0,NA,NA,NA,144,,
Carnivora,Feliformia,Felidae,Felis,Felis silvestris,4.33,4.67,35.5,37.5,3.3,67.0,137.0,84,140,NA,313,6
Carnivora,Feliformia,Felidae,Felis,Felis Iibyca,3.85,4.3,33.5,36.3,2.8,57.0,NA,NA,140,180,280,
Carnivora,Feliformia,Felidae,Felis,Felis chaus,6.65,6.65,37.0,39.3,2.9,65.0,135.5,102,NA,144,330,6
Carnivora,Feliformia,Felidae,Leptailurus,Leptailurus serval,10.4,11.7,57.0,56.8,2.4,71.0,143.5,NA,NA,180,,6
Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus bengalensis,3.3,5.5,28.5,29.3,2.5,67.3,83.0,25,NA,150,750,12
Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus rubiginosa,1.25,1.43,19.0,19.0,2.5,NA,NA,NA,NA,NA,,
Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus viverrinus,6.3,8.8,45.5,46.5,2.5,92.5,92.5,53,NA,NA,,
Carnivora,Feliformia,Felidae,Caracal,Caracal caracal,9.68,11.59,53.5,55.3,3.0,73.5,NA,123,365,204,450,12
Carnivora,Feliformia,Felidae,Puma,Puma concolor,39.6,51.8,119.0,125.5,2.5,90.0,400.0,NA,420,NA,913,19
Carnivora,Feliformia,Felidae,Leopardus,Leopardus pardalis,10.75,11.88,60.0,63.8,2.5,72.5,250.0,49,NA,NA,653,
Carnivora,Feliformia,Felidae,Leopardus,Leopardus geoffroyi,2.2,2.2,35.5,34.0,2.0,69.5,65.0,63,NA,NA,480,12
Carnivora,Feliformia,Felidae,Lynx,Lynx lynx,17.8,19.3,68.5,70.0,2.3,67.8,70.0,113,240,162,690,12
Carnivora,Feliformia,Felidae,Lynx,Lynx rufus,5.2,6.2,58.5,58.3,3.2,63.0,311.5,60,365,156,593,12
Carnivora,Feliformia,Felidae,Panthera,Panthera leo,135.5,155.8,219.0,223.5,2.6,105.5,1650.0,150,1080,216,1620,25
Carnivora,Feliformia,Felidae,Panthera,Panthera tigris,131.0,161.0,247.0,279.3,2.5,104.1,1255.0,165,570,207,1643,32
Carnivora,Feliformia,Felidae,Panthera,Panthera pardus,39.3,52.4,112.0,125.5,2.6,98.0,549.3,139,600,264,1187,24
Carnivora,Feliformia,Felidae,Panthera,Panthera onca,77.6,86.2,149.0,151.5,2.5,104.5,816.6,115,NA,NA,1110,
Carnivora,Feliformia,Felidae,Panthera,Panthera uncia,32.5,32.5,98.0,102.0,2.8,96.8,442.6,NA,NA,NA,730,
Carnivora,Feliformia,Felidae,Acinonyx,Acinonyx jubatus,60.0,58.8,106.0,111.0,3.8,91.0,287.5,109,465,NA,645,18
