Year,age
1974.0,30.0
1974.0,30.0
1974.0,30.0
1974.0,30.0
1973.0,31.0
1973.0,31.0
1972.0,32.0
1972.0,32.0
1971.0,33.0
1971.0,33.0
1971.0,33.0
1971.0,33.0
1970.0,34.0
1970.0,34.0
1970.0,34.0
1970.0,34.0
1969.0,35.0
1969.0,35.0
1966.0,38.0
1966.0,38.0
1960.0,44.0
1960.0,44.0
1952.0,52.0
1952.0,52.0
1951.0,53.0
1951.0,53.0
