pmid,journal,impact_factor,policy_strength,is_usa_address,is_nih_funded,num_authors,any_nih_data_sharing_applies,any_nih_data_sharing_new_grant,sum_of_max_award_for_each_grant,any_direct_cost_over_500k,any_new_or_renewed_since_2003,first_first_year,first_hindex,first_aindex,first_num_papers,first_total_pmc_citations,last_first_year,last_hindex,last_aindex,last_num_papers,last_total_pmc_citations,is_data_shared
17116744,FASEB J.,6.791,1,1,1,8,0,0,1367299,1,0,1999,2,3,9,8,1967,33,76,289,5350,0
17121842,J. Biol. Chem.,5.581,2,1,1,4,0,0,263775,0,1,2003,1,2,5,2,1992,18,30,66,830,0
17122083,Endocrinology,5.045,0,1,1,9,1,0,996604,1,1,1984,6,11,19,84,1989,7,9,173,200,0
17128275,Nat. Genet.,25.556,2,1,0,5,0,0,0,0,0,2001,6,42,11,261,1975,34,110,199,5396,1
17135251,J. Biol. Chem.,5.581,2,1,1,6,0,0,453607,0,1,2000,4,10,5,42,1969,28,74,93,2630,0
17138655,Endocrinology,5.045,0,0,0,4,0,0,0,0,0,2005,1,1,3,1,1997,4,17,18,79,0
17138826,Blood,10.896,2,0,0,9,0,0,0,0,0,2000,3,6,9,28,2001,4,11,18,61,0
17148583,Blood,10.896,2,0,0,9,0,0,0,0,0,1996,2,9,28,33,1989,3,4,70,40,0
17158205,Endocrinology,5.045,0,1,0,11,0,0,0,0,0,2004,1,2,6,4,1989,8,20,69,277,1
17166848,J. Biol. Chem.,5.581,2,1,1,4,0,0,80750,0,1,1996,4,15,10,65,1996,3,9,12,38,1
17170073,Mol. Endocrinol.,5.337,1,0,0,5,0,0,0,0,0,2001,1,1,6,4,1984,4,22,42,119,0
17170127,Blood,10.896,2,0,0,12,0,0,0,0,0,2000,3,12,14,45,1978,13,25,321,878,1
17178835,Mol. Cell. Biol.,6.42,2,0,0,5,0,0,0,0,0,2004,1,2,6,3,1997,2,7,21,23,0
17182561,J. Immunol.,6.068,2,1,1,2,0,0,340875,0,0,2005,0,0,2,0,1974,15,39,112,905,0
17182576,J. Immunol.,6.068,2,1,1,5,0,0,327000,0,1,1997,0,0,1,0,1995,7,12,11,92,0
17182623,J. Biol. Chem.,5.581,2,0,0,9,0,0,0,0,0,1999,2,5,17,19,1991,5,7,104,104,1
17185464,Blood,10.896,2,1,0,19,0,0,0,0,0,2007,0,0,1,0,1982,14,29,406,1097,1
17192395,Blood,10.896,2,0,0,13,0,0,0,0,0,2004,1,2,3,2,1987,4,9,87,88,0
17194750,Mol. Cell. Biol.,6.42,2,1,1,12,1,0,1212493,1,1,1987,1,1,10,1,1993,6,47,20,294,1
17200196,Am. J. Pathol.,5.487,1,0,0,8,0,0,0,0,0,1995,1,3,6,4,1981,11,30,92,539,1
17200207,Am. J. Pathol.,5.487,1,1,1,12,0,0,562400,0,0,1988,5,12,42,91,1966,8,11,380,330,1
17205981,J. Biol. Chem.,5.581,2,1,1,9,0,0,1146998,1,0,1998,3,3,17,16,1992,7,20,40,210,1
17209051,J. Biol. Chem.,5.581,2,1,1,4,0,0,872310,0,1,2002,1,3,8,4,1994,9,27,46,349,0
17210681,Cancer Res.,7.672,2,0,1,19,,,,,,1996,4,8,14,42,1997,7,23,36,192,0
17210682,Cancer Res.,7.672,2,0,1,12,,,,,,2003,1,2,6,3,1989,19,38,197,1290,0
17210685,Cancer Res.,7.672,2,0,1,8,0,0,886643,0,1,1997,4,20,8,88,1984,21,52,64,1368,0
17210693,Cancer Res.,7.672,2,1,1,3,0,0,12913455,1,0,1995,1,3,9,4,1990,8,10,51,145,0
17210724,Cancer Res.,7.672,2,0,0,8,0,0,0,0,0,2005,1,2,3,3,1992,7,10,41,108,1
17210755,J. Endocrinol.,2.636,1,0,0,4,0,0,0,0,0,2004,1,1,2,1,1996,5,13,12,84,0
17215245,J. Biol. Chem.,5.581,2,1,1,4,0,0,282600,0,1,2000,2,4,5,9,1989,10,24,40,330,0
17227774,J. Biol. Chem.,5.581,2,1,1,3,0,0,262839,0,0,2005,1,1,1,1,1997,4,12,9,54,1
17227853,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,5,0,1,600688,0,1,2005,0,0,3,0,2000,8,16,38,181,0
17227867,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,10,0,0,714546,0,1,1998,3,6,12,32,1993,4,4,32,41,0
17234707,Endocrinology,5.045,0,0,0,7,0,0,0,0,0,2001,1,2,15,6,1981,5,7,259,149,0
17234708,Endocrinology,5.045,0,1,1,2,0,0,668065,0,1,1977,9,12,81,229,1983,8,13,67,210,0
17234717,FASEB J.,6.791,1,0,1,8,,,,,,2007,0,0,0,0,1994,3,8,41,51,0
17234736,Blood,10.896,2,0,0,9,0,0,0,0,0,2003,1,5,3,6,2001,4,7,55,63,0
17234769,Cancer Res.,7.672,2,1,1,11,0,0,7572982,1,0,2006,0,0,2,0,1984,13,59,57,910,0
17234778,Cancer Res.,7.672,2,1,1,9,0,0,1684163,1,1,2002,1,1,14,3,1977,14,32,402,1296,0
17234781,Cancer Res.,7.672,2,1,1,10,1,0,2913584,1,1,2005,0,0,2,0,2000,2,4,13,9,1
17237218,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,10,0,0,0,0,0,2004,2,3,6,8,1993,10,30,32,359,0
17237411,J. Immunol.,6.068,2,0,0,4,0,0,0,0,0,2000,1,4,8,6,1989,9,26,52,319,0
17237439,J. Immunol.,6.068,2,1,1,3,0,0,343125,0,1,2006,0,0,1,0,1985,6,15,29,124,0
17242199,Mol. Cell. Biol.,6.42,2,1,1,8,0,0,988282,0,1,1997,1,2,20,3,1997,6,23,14,148,1
17242205,Mol. Cell. Biol.,6.42,2,1,0,15,0,0,0,0,0,1978,35,79,226,4073,1998,9,67,13,627,1
17242213,Mol. Cell. Biol.,6.42,2,1,0,5,0,0,0,0,0,2004,1,2,4,3,1974,14,26,218,824,1
17242365,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,0,5,0,0,0,0,0,2002,5,19,14,104,1962,81,179,487,24509,0
17244764,Mol. Endocrinol.,5.337,1,1,1,7,1,0,3793558,1,1,2005,0,0,1,0,1989,8,16,40,223,0
17255321,Am. J. Pathol.,5.487,1,1,1,5,0,0,10316049,1,0,1972,7,13,57,170,1970,11,20,48,317,0
17261596,Mol. Cell. Biol.,6.42,2,0,1,5,0,0,357152,0,0,2003,1,9,1,9,1984,18,37,88,1064,0
17264169,FASEB J.,6.791,1,1,1,6,1,0,1341733,1,1,2002,2,2,6,7,1979,9,13,86,272,0
17264171,FASEB J.,6.791,1,0,0,17,0,0,0,0,0,1973,4,6,141,50,1988,7,11,70,138,1
17272501,Blood,10.896,2,0,1,9,0,0,125000,0,0,2007,0,0,0,0,1987,6,8,95,135,0
17277136,J. Immunol.,6.068,2,0,0,13,0,0,0,0,0,2004,1,1,2,1,1989,6,7,61,117,0
17283056,Mol. Cell. Biol.,6.42,2,0,0,4,0,0,0,0,0,2003,3,7,5,24,1985,6,14,26,139,1
17283147,Cancer Res.,7.672,2,0,0,9,0,0,0,0,0,1987,6,14,23,112,1992,4,6,15,37,1
17284533,Blood,10.896,2,0,0,9,0,0,0,0,0,2002,0,0,2,0,1997,6,9,32,95,0
17293870,Nat. Med.,26.382,2,0,0,11,0,0,0,0,0,2003,1,7,7,9,1991,8,16,129,237,1
17296934,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,12,1,0,3982273,1,1,1994,2,3,16,11,1996,4,5,61,53,1
17299135,Mol. Endocrinol.,5.337,1,1,1,8,1,0,2182658,1,1,1995,2,5,15,15,1990,6,8,44,92,0
17303664,Endocrinology,5.045,0,1,1,3,0,0,965532,0,1,1973,5,18,65,136,1965,12,18,432,651,1
17307872,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,2,0,0,0,0,0,2004,2,13,6,27,1987,10,14,44,275,1
17308088,Cancer Res.,7.672,2,1,1,17,1,0,4557952,1,1,1978,10,21,35,267,1945,9,26,61,302,1
17308118,Cancer Res.,7.672,2,1,1,11,1,0,3250302,1,1,2002,1,4,14,5,1994,3,7,98,52,0
17308126,Cancer Res.,7.672,2,1,1,14,1,1,1514185,1,1,1992,4,13,9,54,1986,9,18,121,373,1
17312182,J. Immunol.,6.068,2,0,0,14,0,0,0,0,0,2006,0,0,2,0,1981,12,19,183,620,0
17332066,Endocrinology,5.045,0,0,0,6,0,0,0,0,0,1959,4,4,70,68,1996,4,4,18,33,0
17332242,Blood,10.896,2,0,0,8,0,0,0,0,0,1992,6,9,25,87,1994,7,13,30,130,1
17332365,Cancer Res.,7.672,2,0,0,11,0,0,0,0,0,2003,1,1,9,2,1990,6,8,53,111,0
17332525,J. Endocrinol.,2.636,1,1,1,4,1,0,2737776,1,1,2005,1,2,14,6,1983,5,6,161,140,1
17334370,Nat. Med.,26.382,2,1,1,18,0,0,366750,0,0,1998,4,6,14,34,1962,7,8,105,281,1
17337443,J. Biol. Chem.,5.581,2,0,0,9,0,0,0,0,0,2007,0,0,0,0,1983,10,21,40,285,1
17339423,Blood,10.896,2,0,0,15,0,0,0,0,0,2003,3,6,7,19,1981,12,19,183,620,0
17339457,J. Immunol.,6.068,2,1,1,6,0,0,627169,0,0,1999,4,7,13,33,1978,19,30,201,1608,1
17339462,J. Immunol.,6.068,2,0,0,12,0,0,0,0,0,2003,1,4,9,8,1954,7,17,86,200,1
17351622,Nat. Methods,15.478,2,0,0,23,0,0,0,0,0,1984,3,10,15,38,1996,10,24,31,294,1
17360330,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,15,0,1,1084818,0,1,2004,1,6,8,7,1990,19,68,48,1420,1
17360536,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,12,0,0,0,0,0,1987,6,10,33,82,1968,9,14,137,423,1
17360660,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,10,1,1,4111779,1,1,2002,8,15,20,151,1988,11,20,159,487,1
17360662,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,7,,,,,,2005,1,1,3,1,1987,5,6,98,115,0
17360665,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,1,0,4513155,1,1,2002,2,5,7,12,1976,16,26,348,1481,1
17363378,J. Biol. Chem.,5.581,2,0,0,11,0,0,0,0,0,2005,0,0,1,0,1980,5,14,33,100,1
17363560,Cancer Res.,7.672,2,1,1,7,,,,,,1999,3,8,6,29,1965,12,20,160,618,0
17363561,Cancer Res.,7.672,2,1,1,12,1,0,3218843,1,1,1992,5,13,32,101,1968,27,41,303,2566,0
17371837,Mol. Cell. Biol.,6.42,2,1,1,7,,,,,,2007,0,0,0,0,1997,13,24,29,397,0
17371845,Mol. Cell. Biol.,6.42,2,0,1,8,,,,,,1999,3,6,13,30,1990,10,18,126,357,1
17371979,J. Immunol.,6.068,2,1,1,12,1,1,1885130,1,1,1999,3,6,14,33,1977,24,53,195,2254,1
17371987,J. Immunol.,6.068,2,0,0,9,0,0,0,0,0,1997,2,3,22,17,1999,4,20,26,108,1
17372002,J. Immunol.,6.068,2,1,1,7,1,0,12506075,1,1,2005,0,0,5,0,1996,6,9,41,104,0
17372017,J. Immunol.,6.068,2,1,1,10,0,0,3178240,1,0,1999,1,1,4,1,1985,11,26,61,422,0
17372020,J. Immunol.,6.068,2,0,0,19,0,0,0,0,0,2002,1,3,4,3,1986,4,8,55,64,0
17372200,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,6,0,0,0,0,0,2007,0,0,0,0,1996,3,7,20,31,1
17372210,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,0,7,0,0,0,0,0,2004,1,1,6,2,1986,21,38,136,1226,0
17372224,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,3,0,0,405490,0,1,1998,2,4,5,13,1983,29,65,90,2466,0
17374609,J. Biol. Chem.,5.581,2,0,0,8,0,0,0,0,0,2003,1,2,6,3,1993,7,15,50,194,0
17379603,J. Biol. Chem.,5.581,2,0,0,9,0,0,0,0,0,2001,1,2,8,3,1996,5,9,42,78,1
17389363,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,4,1,0,2551789,1,1,1997,1,2,7,5,1961,8,15,277,367,1
17389372,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,1,1,12029695,1,1,1997,12,27,25,376,1988,15,50,35,888,1
17389401,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,,,,,,1997,3,10,6,36,1980,19,28,190,1208,0
17395700,Endocrinology,5.045,0,0,0,10,0,0,0,0,0,1962,2,2,27,13,1993,2,3,52,17,0
17395833,FASEB J.,6.791,1,1,1,5,0,0,323507,0,1,2003,1,1,8,1,1970,9,12,176,350,0
17400755,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,9,0,0,0,0,0,1992,5,8,20,65,1986,15,23,188,917,1
17400805,J. Endocrinol.,2.636,1,1,1,6,,,,,,2000,1,1,15,4,1992,4,6,57,61,0
17404290,J. Immunol.,6.068,2,1,1,8,,,,,,2005,0,0,1,0,1997,3,10,29,42,1
17404297,J. Immunol.,6.068,2,0,1,11,1,1,1103274,1,1,1985,4,5,14,26,1988,6,10,62,159,0
17404298,J. Immunol.,6.068,2,1,1,3,0,0,908564,0,1,1999,4,9,7,42,1976,22,38,133,1441,1
17405863,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,16,0,0,0,0,0,1997,3,11,14,42,1968,32,88,286,4562,1
17405903,Mol. Endocrinol.,5.337,1,0,0,9,0,0,0,0,0,2003,1,2,5,4,1992,3,6,14,32,0
17409384,J. Biol. Chem.,5.581,2,1,1,2,0,0,874351,0,1,1997,1,1,4,2,1998,9,11,46,181,0
17409425,Cancer Res.,7.672,2,1,1,9,1,0,2300000,1,1,2005,1,1,3,1,1999,2,13,35,37,0
17409432,Cancer Res.,7.672,2,0,0,21,0,0,0,0,0,2000,3,9,7,31,1974,6,7,319,208,1
17409444,Cancer Res.,7.672,2,0,0,13,0,0,0,0,0,2004,0,0,3,0,1985,5,5,94,69,0
17409456,Cancer Res.,7.672,2,0,0,15,0,0,0,0,0,1998,1,3,10,4,1983,3,3,121,18,0
17412998,FASEB J.,6.791,1,0,0,6,0,0,0,0,0,1999,1,1,22,1,1988,15,28,118,783,0
17420277,Mol. Cell. Biol.,6.42,2,0,0,5,0,0,0,0,0,2001,1,4,6,6,1993,10,20,40,286,1
17426020,J. Biol. Chem.,5.581,2,1,1,17,,,,,,2002,1,5,7,6,1992,4,8,26,47,0
17426146,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,10,,,,,,2000,2,5,4,11,1994,16,63,53,1163,1
17428923,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,0,17,0,0,0,0,0,1999,1,4,15,10,1983,4,9,39,64,0
17430890,J. Biol. Chem.,5.581,2,1,1,10,,,,,,1993,1,4,17,9,1997,5,8,15,57,1
17434133,Mol. Cell,13.156,2,0,0,8,0,0,0,0,0,2003,1,5,2,5,1991,15,41,47,721,1
17440046,Mol. Endocrinol.,5.337,1,1,1,13,,,,,,1991,5,9,68,126,1977,11,17,452,765,0
17440055,Cancer Res.,7.672,2,1,1,7,0,0,1948648,1,0,2002,4,7,14,36,1972,18,35,142,1379,0
17440082,Cancer Res.,7.672,2,1,1,7,0,0,333706,0,0,2003,1,3,4,4,2000,2,7,16,20,0
17440099,Cancer Res.,7.672,2,1,1,9,,,,,,1999,3,5,14,17,2003,3,3,17,20,0
17440110,Cancer Res.,7.672,2,0,0,12,0,0,0,0,0,1978,2,2,22,11,1965,5,6,440,227,0
17442931,J. Immunol.,6.068,2,1,1,12,,,,,,1995,4,5,5,23,1977,18,48,193,1393,1
17452451,Mol. Cell. Biol.,6.42,2,0,0,8,0,0,0,0,0,2001,2,2,6,7,2000,3,22,8,73,1
17452630,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,17,1,0,3847659,1,1,1999,5,30,8,160,1997,14,45,52,747,1
17456585,Cancer Res.,7.672,2,1,1,11,0,0,2848370,1,1,2003,3,6,19,27,1991,19,79,330,2445,0
17456796,Mol. Endocrinol.,5.337,1,1,1,14,0,0,308525,0,0,1994,2,2,14,9,1981,23,43,117,1491,1
17463053,Endocrinology,5.045,0,0,0,6,0,0,0,0,0,1999,5,8,16,46,1991,3,4,23,22,1
17468106,J. Biol. Chem.,5.581,2,0,0,7,0,0,0,0,0,2003,0,0,4,0,1994,8,31,25,289,1
17470548,Mol. Cell. Biol.,6.42,2,1,0,2,0,0,0,0,0,1994,6,16,10,111,1988,22,38,84,1218,1
17470787,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,10,1,0,1097202,1,1,1999,3,7,25,39,1991,6,9,31,94,0
17475832,J. Immunol.,6.068,2,1,0,3,0,0,0,0,0,2003,3,9,4,27,1989,23,87,104,2526,0
17475848,J. Immunol.,6.068,2,0,0,9,0,0,0,0,0,2004,2,9,9,20,1984,8,14,65,205,0
17475886,J. Immunol.,6.068,2,0,0,5,0,0,0,0,0,2005,0,0,2,0,1977,16,46,195,1316,0
17478552,Endocrinology,5.045,0,1,0,7,0,0,0,0,0,1997,3,4,11,19,1980,8,20,58,236,0
17483295,Blood,10.896,2,0,0,12,0,0,0,0,0,2002,1,1,6,1,1995,5,7,56,81,1
17483315,Cancer Res.,7.672,2,0,0,9,0,0,0,0,0,2007,0,0,1,0,1994,18,57,103,1381,1
17483324,Cancer Res.,7.672,2,0,0,10,0,0,0,0,0,2004,1,1,5,1,1996,4,17,25,87,1
17483452,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,11,0,0,306750,0,1,2003,3,5,10,24,1989,9,29,31,346,1
17486113,Nat. Cell Biol.,17.623,2,0,0,6,0,0,0,0,0,1995,3,9,8,34,1990,7,11,123,188,1
17491024,J. Biol. Chem.,5.581,2,0,0,7,0,0,0,0,0,1995,1,1,7,3,1969,6,12,120,232,0
17495134,Blood,10.896,2,1,1,8,0,0,30882238,1,1,1991,1,1,33,3,1986,3,5,42,33,1
17502615,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,5,0,0,227246,0,1,2000,4,7,7,34,1983,16,44,49,895,1
17505060,Mol. Endocrinol.,5.337,1,1,1,7,,,,,,2006,0,0,5,0,1990,5,10,20,76,0
17507667,FASEB J.,6.791,1,0,0,11,0,0,0,0,0,1998,1,1,10,5,1996,9,18,36,253,1
17510242,Endocrinology,5.045,0,1,1,8,0,0,2014185,1,1,2006,0,0,1,0,1999,4,7,20,46,0
17510386,Cancer Res.,7.672,2,1,1,13,0,0,3881632,1,1,1996,4,7,5,30,1979,29,44,107,2089,1
17510389,Cancer Res.,7.672,2,0,1,13,0,0,2599687,1,0,1979,2,3,12,7,1967,24,74,455,3320,0
17510434,Cancer Res.,7.672,2,1,1,4,0,0,297371,0,1,2003,1,1,12,1,1993,4,7,85,110,1
17510436,Cancer Res.,7.672,2,1,1,13,1,0,6079097,1,1,1998,2,5,8,13,1996,8,14,83,244,1
17510629,EMBO J.,8.662,2,0,0,5,0,0,0,0,0,2002,2,11,3,24,1970,11,36,47,536,1
17510634,EMBO J.,8.662,2,1,1,6,0,0,343200,0,1,1998,8,15,24,161,1978,26,53,82,1936,1
17513727,J. Immunol.,6.068,2,1,1,4,1,0,1772697,1,1,2005,1,2,2,2,1989,4,31,19,141,1
17513742,J. Immunol.,6.068,2,0,0,11,0,0,0,0,0,2006,1,2,3,4,1995,7,14,73,186,1
17513749,J. Immunol.,6.068,2,0,1,8,0,0,182523,0,0,1982,1,1,52,3,1992,3,3,143,39,1
17513759,J. Immunol.,6.068,2,0,0,8,0,0,0,0,0,1998,3,6,9,24,1979,12,19,64,402,0
17513785,J. Immunol.,6.068,2,0,0,13,0,0,0,0,0,2005,1,2,4,3,1985,15,32,111,793,0
17515606,Mol. Cell. Biol.,6.42,2,1,1,8,0,0,1340968,0,1,2004,2,2,8,9,1980,15,36,152,905,1
17515612,Mol. Cell. Biol.,6.42,2,1,1,8,0,0,294504,0,1,2007,0,0,0,0,1993,10,24,39,359,1
17517597,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,,,,,,2005,0,0,2,0,1998,9,21,43,300,1
17525252,Am. J. Pathol.,5.487,1,1,1,8,0,0,283532,0,1,2002,0,0,4,0,2001,2,8,19,20,0
17525269,Am. J. Pathol.,5.487,1,0,0,6,0,0,0,0,0,2006,0,0,1,0,1982,1,1,96,12,0
17535874,J. Endocrinol.,2.636,1,0,1,9,0,0,252801,0,0,1997,2,2,46,11,1991,8,15,175,315,0
17535876,J. Endocrinol.,2.636,1,1,1,6,1,0,2330546,1,1,2006,0,0,1,0,1999,1,2,10,6,0
17536014,Blood,10.896,2,0,0,9,0,0,0,0,0,1979,3,6,19,28,1974,12,25,328,889,1
17537913,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,11,1,0,5986710,1,1,2007,0,0,0,0,1983,8,11,129,231,1
17545589,Cancer Res.,7.672,2,0,0,24,0,0,0,0,0,1999,1,2,9,5,1998,5,6,33,62,1
17548617,J. Immunol.,6.068,2,1,1,7,0,0,788463,0,1,2002,3,5,6,16,1988,9,18,42,245,1
17548813,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,6,0,0,0,0,0,1994,5,9,7,47,1988,19,46,56,1107,1
17550896,J. Biol. Chem.,5.581,2,1,1,8,0,0,955133,0,1,2001,3,8,5,25,1993,17,35,58,773,1
17550982,Mol. Endocrinol.,5.337,1,1,1,6,0,0,598245,0,1,2003,2,6,2,12,1972,15,25,255,1182,0
17553792,J. Biol. Chem.,5.581,2,1,0,6,0,0,0,0,0,2001,0,0,2,0,1957,7,16,111,229,0
17556363,J. Biol. Chem.,5.581,2,1,1,8,1,0,2514438,1,1,2000,2,6,5,13,1970,31,62,471,4398,0
17556502,Endocrinology,5.045,0,1,1,7,1,0,3833149,1,1,2005,1,3,6,4,1980,15,36,152,905,0
17562867,Mol. Cell. Biol.,6.42,2,1,0,7,0,0,0,0,0,1996,4,6,8,29,1985,12,62,61,898,0
17562872,Mol. Cell. Biol.,6.42,2,0,0,6,0,0,0,0,0,2007,0,0,0,0,1981,9,17,77,294,0
17563388,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,11,1,0,1511137,1,1,2002,1,131,5,133,2000,7,44,23,345,1
17565986,J. Biol. Chem.,5.581,2,1,1,10,1,0,1305380,1,1,2003,1,2,3,2,1973,12,22,87,437,0
17565990,J. Biol. Chem.,5.581,2,1,0,5,0,0,0,0,0,2005,1,1,2,1,1980,21,27,113,1287,0
17566103,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,2,0,0,504387,0,0,2003,2,3,4,8,1982,24,47,171,1908,1
17575140,Cancer Res.,7.672,2,1,1,6,0,0,437928,0,1,2007,0,0,0,0,1994,2,3,21,13,1
17579077,J. Immunol.,6.068,2,1,1,5,0,0,2134442,1,0,1999,0,0,3,0,1990,7,29,43,268,1
17591699,Mol. Cell. Biol.,6.42,2,0,1,7,,,,,,1996,2,2,29,12,1996,4,8,129,75,0
17591776,J. Biol. Chem.,5.581,2,0,0,18,0,0,0,0,0,1962,7,11,234,285,1987,0,0,35,0,0
17591970,Am. J. Pathol.,5.487,1,1,1,7,1,0,850000,1,1,2004,1,3,3,4,1985,10,16,117,409,1
17591977,Am. J. Pathol.,5.487,1,0,0,11,0,0,0,0,0,2001,1,3,7,3,1988,4,9,35,60,0
17592025,J. Endocrinol.,2.636,1,0,0,4,0,0,0,0,0,2001,2,2,9,7,1980,4,4,70,61,0
17597072,J. Biol. Chem.,5.581,2,1,1,5,0,0,897101,0,1,1997,1,1,4,1,1977,16,34,136,916,0
17603093,J. Biol. Chem.,5.581,2,1,0,5,0,0,0,0,0,2006,0,0,1,0,1990,7,32,24,235,1
17603471,Nature,28.751,2,1,1,22,,,,,,2001,4,326,14,1317,1994,7,45,24,353,1
17606911,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,3,0,0,411173,0,1,2000,4,17,6,70,1971,23,44,117,1741,1
17609433,Mol. Endocrinol.,5.337,1,1,1,8,0,0,1591158,1,1,2000,3,3,16,20,1983,14,23,188,867,1
17611496,Nature,28.751,2,0,1,24,,,,,,1992,10,17,49,266,1981,15,40,139,995,1
17612490,Mol. Cell,13.156,2,1,1,9,0,0,363350,0,1,2005,1,11,1,11,1989,20,68,45,1568,0
17616518,J. Biol. Chem.,5.581,2,1,0,3,0,0,0,0,0,1992,0,0,3,0,1981,10,15,49,270,1
